label,engine,seed,measured_ops,kind,count,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,throughput_ops_s
wl2-baseline,naive,42,200000,limit,109676,127.2,42,84,500,18352,45601,
wl2-baseline,naive,42,200000,market,10037,46.9,42,83,167,1125,3375,
wl2-baseline,naive,42,200000,cancel,60153,26786.4,21143,61952,88011,92845,261324,
wl2-baseline,naive,42,200000,modify,20134,31721.3,25083,73219,101552,128320,180940,
wl2-baseline,naive,42,200000,ALL,200000,11321.9,84,37852,87635,101762,261324,88197
wl2-v1,v1,42,200000,limit,109676,92.0,83,125,208,958,85844,
wl2-v1,v1,42,200000,market,10037,55.4,42,125,167,250,1084,
wl2-v1,v1,42,200000,cancel,60153,50.4,42,84,125,143,1125,
wl2-v1,v1,42,200000,modify,20134,65.4,42,167,250,292,2209,
wl2-v1,v1,42,200000,ALL,200000,75.0,83,125,208,333,85844,11263428
