label,engine,seed,measured_ops,kind,count,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,throughput_ops_s
endurance-100m,final,42,100000000,limit,55002981,49.2,42,83,167,1500,23064544,
endurance-100m,final,42,100000000,market,4999140,49.5,42,83,125,1583,3031950,
endurance-100m,final,42,100000000,cancel,29999825,39.8,42,42,125,1500,7319720,
endurance-100m,final,42,100000000,modify,9998054,44.6,42,83,125,1500,3342601,
endurance-100m,final,42,100000000,ALL,100000000,45.9,42,83,166,1500,23064544,17994637
endurance-100m-sized,final,42,100000000,limit,55002981,77.3,83,125,209,583,4212862,
endurance-100m-sized,final,42,100000000,market,4999140,77.4,83,125,208,583,1036640,
endurance-100m-sized,final,42,100000000,cancel,29999825,46.7,42,84,167,459,3250739,
endurance-100m-sized,final,42,100000000,modify,9998054,52.3,42,125,208,500,1723418,
endurance-100m-sized,final,42,100000000,ALL,100000000,65.6,42,125,208,542,4212862,13270723
endurance-100m-tuned,final,42,100000000,limit,55002981,49.1,42,84,167,375,52227,
endurance-100m-tuned,final,42,100000000,market,4999140,49.6,42,84,167,292,35310,
endurance-100m-tuned,final,42,100000000,cancel,29999825,36.3,42,42,125,209,45308,
endurance-100m-tuned,final,42,100000000,modify,9998054,42.5,42,83,166,292,38160,
endurance-100m-tuned,final,42,100000000,ALL,100000000,44.6,42,84,167,333,52227,18623143
