label,engine,seed,measured_ops,kind,count,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,throughput_ops_s
final-2m-rep1,final,42,2000000,limit,1099220,27.7,41,42,84,167,16417,
final-2m-rep1,final,42,2000000,market,100021,29.9,41,42,84,125,6375,
final-2m-rep1,final,42,2000000,cancel,600984,26.7,41,42,83,125,12333,
final-2m-rep1,final,42,2000000,modify,199775,32.9,41,42,84,166,14810,
final-2m-rep1,final,42,2000000,ALL,2000000,28.0,41,42,84,166,16417,27079112
final-2m-rep2,final,42,2000000,limit,1099220,27.9,41,42,84,167,17642,
final-2m-rep2,final,42,2000000,market,100021,30.0,41,42,84,125,14750,
final-2m-rep2,final,42,2000000,cancel,600984,27.0,41,42,83,125,16518,
final-2m-rep2,final,42,2000000,modify,199775,32.9,41,42,84,125,5792,
final-2m-rep2,final,42,2000000,ALL,2000000,28.2,41,42,84,166,17642,26911155
final-2m-rep3,final,42,2000000,limit,1099220,27.9,41,42,84,208,35350,
final-2m-rep3,final,42,2000000,market,100021,30.2,41,42,84,125,6167,
final-2m-rep3,final,42,2000000,cancel,600984,26.9,41,42,83,125,9250,
final-2m-rep3,final,42,2000000,modify,199775,32.8,41,42,84,167,14643,
final-2m-rep3,final,42,2000000,ALL,2000000,28.2,41,42,84,167,35350,26964717
