label,engine,seed,measured_ops,kind,count,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,throughput_ops_s
rep1,naive,42,200000,limit,109676,92.1,42,83,459,11583,47808,
rep1,naive,42,200000,market,10037,41.6,41,42,125,2875,5167,
rep1,naive,42,200000,cancel,60153,17757.4,14143,41435,54410,108653,220724,
rep1,naive,42,200000,modify,20134,20880.9,16809,48869,62453,102011,233556,
rep1,naive,42,200000,ALL,200000,7495.5,83,24250,54368,70785,233556,133211
rep1,v1,42,200000,limit,109676,59.7,42,84,125,583,58744,
rep1,v1,42,200000,market,10037,40.0,42,83,125,167,500,
rep1,v1,42,200000,cancel,60153,33.3,41,42,84,208,5458,
rep1,v1,42,200000,modify,20134,42.9,42,84,167,209,14125,
rep1,v1,42,200000,ALL,200000,49.1,42,84,125,250,58744,17232218
rep1,v2,42,200000,limit,109676,46.7,42,83,125,458,59743,
rep1,v2,42,200000,market,10037,36.1,42,83,125,167,3083,
rep1,v2,42,200000,cancel,60153,29.9,41,42,84,125,7167,
rep1,v2,42,200000,modify,20134,37.4,42,83,125,167,4666,
rep1,v2,42,200000,ALL,200000,40.2,42,83,125,167,59743,20382512
rep1,v3,42,200000,limit,109676,46.1,42,83,125,542,54660,
rep1,v3,42,200000,market,10037,36.8,42,83,125,125,1750,
rep1,v3,42,200000,cancel,60153,30.6,41,42,84,125,29851,
rep1,v3,42,200000,modify,20134,37.8,42,83,125,167,4416,
rep1,v3,42,200000,ALL,200000,40.1,42,83,125,208,54660,20457131
rep1,v4,42,200000,limit,109676,45.6,42,83,125,167,58725,
rep1,v4,42,200000,market,10037,36.5,42,83,84,125,5083,
rep1,v4,42,200000,cancel,60153,29.9,41,42,84,84,12559,
rep1,v4,42,200000,modify,20134,34.4,41,83,125,166,208,
rep1,v4,42,200000,ALL,200000,39.3,42,83,100,167,58725,20774006
rep1,v5,42,200000,limit,109676,39.9,42,42,125,250,57952,
rep1,v5,42,200000,market,10037,38.1,42,83,84,125,16600,
rep1,v5,42,200000,cancel,60153,28.8,41,42,84,84,1917,
rep1,v5,42,200000,modify,20134,35.9,42,83,125,166,9459,
rep1,v5,42,200000,ALL,200000,36.0,42,42,84,167,57952,22267167
rep1,final,42,200000,limit,109676,25.7,41,42,83,167,16102,
rep1,final,42,200000,market,10037,27.1,41,42,83,167,542,
rep1,final,42,200000,cancel,60153,24.3,41,42,42,125,15809,
rep1,final,42,200000,modify,20134,29.7,41,42,84,125,6375,
rep1,final,42,200000,ALL,200000,25.7,41,42,83,166,16102,28900690
rep2,naive,42,200000,limit,109676,91.1,42,83,459,12101,32142,
rep2,naive,42,200000,market,10037,42.8,41,42,125,2875,15084,
rep2,naive,42,200000,cancel,60153,17647.3,14166,41268,51060,97970,222289,
rep2,naive,42,200000,modify,20134,20848.2,16684,48910,61828,113237,223290,
rep2,naive,42,200000,ALL,200000,7458.6,42,24558,53035,70594,223290,133867
rep2,v1,42,200000,limit,109676,59.0,42,84,125,459,58203,
rep2,v1,42,200000,market,10037,41.0,42,83,125,208,4084,
rep2,v1,42,200000,cancel,60153,33.2,41,42,84,167,9309,
rep2,v1,42,200000,modify,20134,42.0,42,84,166,209,6166,
rep2,v1,42,200000,ALL,200000,48.6,42,84,125,250,58203,17390612
rep2,v2,42,200000,limit,109676,45.9,42,83,125,292,53576,
rep2,v2,42,200000,market,10037,36.6,42,83,84,167,4667,
rep2,v2,42,200000,cancel,60153,30.0,41,42,84,125,5625,
rep2,v2,42,200000,modify,20134,37.2,42,83,125,167,4227,
rep2,v2,42,200000,ALL,200000,39.8,42,83,125,167,53576,20543020
rep2,v3,42,200000,limit,109676,45.3,42,83,125,209,54660,
rep2,v3,42,200000,market,10037,36.4,42,83,125,125,208,
rep2,v3,42,200000,cancel,60153,29.2,41,42,84,84,208,
rep2,v3,42,200000,modify,20134,36.8,42,83,125,167,292,
rep2,v3,42,200000,ALL,200000,39.2,42,83,125,167,54660,20835415
rep2,v4,42,200000,limit,109676,45.7,42,83,125,167,54494,
rep2,v4,42,200000,market,10037,36.1,42,83,84,125,208,
rep2,v4,42,200000,cancel,60153,29.7,41,42,84,84,16310,
rep2,v4,42,200000,modify,20134,34.1,41,83,125,167,250,
rep2,v4,42,200000,ALL,200000,39.3,42,83,125,167,54494,20811475
rep2,v5,42,200000,limit,109676,40.3,42,42,125,291,57869,
rep2,v5,42,200000,market,10037,38.2,42,83,125,208,5958,
rep2,v5,42,200000,cancel,60153,30.1,41,42,84,208,3375,
rep2,v5,42,200000,modify,20134,36.4,42,83,125,208,5018,
rep2,v5,42,200000,ALL,200000,36.7,42,42,125,250,57869,21978123
rep2,final,42,200000,limit,109676,26.3,41,42,83,125,27000,
rep2,final,42,200000,market,10037,27.7,41,42,83,125,4500,
rep2,final,42,200000,cancel,60153,23.9,41,42,42,84,5333,
rep2,final,42,200000,modify,20134,29.6,41,42,84,84,4750,
rep2,final,42,200000,ALL,200000,26.0,41,42,83,125,27000,28591851
rep3,naive,42,200000,limit,109676,92.7,42,83,458,12125,64285,
rep3,naive,42,200000,market,10037,40.5,41,42,125,2916,3166,
rep3,naive,42,200000,cancel,60153,18584.3,14392,45977,60910,105028,279699,
rep3,naive,42,200000,modify,20134,21792.1,16726,54326,70951,138403,239015,
rep3,naive,42,200000,ALL,200000,7836.2,42,24476,61202,82012,279699,127432
rep3,v1,42,200000,limit,109676,59.6,42,84,125,667,68452,
rep3,v1,42,200000,market,10037,41.4,42,83,125,167,6083,
rep3,v1,42,200000,cancel,60153,33.0,41,42,84,125,5667,
rep3,v1,42,200000,modify,20134,42.6,42,84,166,209,17792,
rep3,v1,42,200000,ALL,200000,49.0,42,84,125,250,68452,17250674
rep3,v2,42,200000,limit,109676,47.6,42,83,125,500,59035,
rep3,v2,42,200000,market,10037,36.6,42,83,125,166,209,
rep3,v2,42,200000,cancel,60153,31.2,41,42,84,125,27893,
rep3,v2,42,200000,modify,20134,37.9,42,83,125,208,958,
rep3,v2,42,200000,ALL,200000,41.2,42,83,125,209,59035,19935129
rep3,v3,42,200000,limit,109676,47.8,42,83,125,500,60452,
rep3,v3,42,200000,market,10037,36.6,42,83,125,167,875,
rep3,v3,42,200000,cancel,60153,30.5,41,42,84,125,6333,
rep3,v3,42,200000,modify,20134,38.6,42,83,125,208,8350,
rep3,v3,42,200000,ALL,200000,41.1,42,83,125,209,60452,20025448
rep3,v4,42,200000,limit,109676,47.3,42,83,125,209,59827,
rep3,v4,42,200000,market,10037,36.3,42,83,125,166,833,
rep3,v4,42,200000,cancel,60153,29.9,41,42,84,125,3125,
rep3,v4,42,200000,modify,20134,35.2,41,83,125,167,5125,
rep3,v4,42,200000,ALL,200000,40.3,42,83,125,167,59827,20338725
rep3,v5,42,200000,limit,109676,39.0,42,42,125,209,59119,
rep3,v5,42,200000,market,10037,36.4,42,83,84,125,459,
rep3,v5,42,200000,cancel,60153,29.4,41,42,84,84,6333,
rep3,v5,42,200000,modify,20134,35.4,42,83,125,167,3125,
rep3,v5,42,200000,ALL,200000,35.6,42,42,84,167,59119,22483806
rep3,final,42,200000,limit,109676,25.7,41,42,83,416,16041,
rep3,final,42,200000,market,10037,27.1,41,42,83,125,3458,
rep3,final,42,200000,cancel,60153,23.6,41,42,42,125,7916,
rep3,final,42,200000,modify,20134,29.0,41,42,84,125,625,
rep3,final,42,200000,ALL,200000,25.5,41,42,83,167,16041,29126212
rep4,naive,42,200000,limit,109676,86.2,42,83,458,11792,26934,
rep4,naive,42,200000,market,10037,37.0,41,42,125,2833,5833,
rep4,naive,42,200000,cancel,60153,17407.7,14167,41035,49577,80512,184188,
rep4,naive,42,200000,modify,20134,20526.3,16583,48600,59993,81178,150338,
rep4,naive,42,200000,ALL,200000,7351.1,42,24392,51327,65951,184188,135829
rep4,v1,42,200000,limit,109676,58.6,42,84,125,583,58369,
rep4,v1,42,200000,market,10037,40.0,42,83,125,167,3084,
rep4,v1,42,200000,cancel,60153,32.4,41,42,84,125,15934,
rep4,v1,42,200000,modify,20134,42.0,42,84,166,209,5810,
rep4,v1,42,200000,ALL,200000,48.1,42,84,125,209,58369,17587249
rep4,v2,42,200000,limit,109676,46.2,42,83,125,417,56785,
rep4,v2,42,200000,market,10037,36.8,42,83,125,167,5393,
rep4,v2,42,200000,cancel,60153,29.9,41,42,84,84,7750,
rep4,v2,42,200000,modify,20134,37.5,42,83,125,167,3542,
rep4,v2,42,200000,ALL,200000,40.0,42,83,125,167,56785,20465245
rep4,v3,42,200000,limit,109676,46.5,42,83,125,208,58035,
rep4,v3,42,200000,market,10037,36.6,42,83,125,166,208,
rep4,v3,42,200000,cancel,60153,29.8,41,42,84,125,1750,
rep4,v3,42,200000,modify,20134,37.6,42,83,125,167,4791,
rep4,v3,42,200000,ALL,200000,40.1,42,83,125,167,58035,20458265
rep4,v4,42,200000,limit,109676,46.8,42,83,125,209,60452,
rep4,v4,42,200000,market,10037,36.5,42,83,125,166,500,
rep4,v4,42,200000,cancel,60153,30.7,41,42,84,125,6250,
rep4,v4,42,200000,modify,20134,35.8,41,83,125,167,5250,
rep4,v4,42,200000,ALL,200000,40.3,42,83,125,167,60452,20290149
rep4,v5,42,200000,limit,109676,38.4,42,42,100,167,55118,
rep4,v5,42,200000,market,10037,36.6,42,83,84,125,8333,
rep4,v5,42,200000,cancel,60153,28.6,41,42,83,84,9208,
rep4,v5,42,200000,modify,20134,35.4,42,83,125,125,6292,
rep4,v5,42,200000,ALL,200000,35.1,42,42,84,167,55118,22778719
rep4,final,42,200000,limit,109676,24.3,41,42,42,125,5102,
rep4,final,42,200000,market,10037,26.3,41,42,42,125,500,
rep4,final,42,200000,cancel,60153,22.4,41,42,42,83,7583,
rep4,final,42,200000,modify,20134,28.4,41,42,84,84,4851,
rep4,final,42,200000,ALL,200000,24.2,41,42,42,84,7583,30237552
rep5,naive,42,200000,limit,109676,85.6,42,83,458,11750,30683,
rep5,naive,42,200000,market,10037,36.4,41,42,100,2833,4167,
rep5,naive,42,200000,cancel,60153,17379.0,14042,41184,49577,69868,245724,
rep5,naive,42,200000,modify,20134,20515.6,16601,48410,58869,81136,148713,
rep5,naive,42,200000,ALL,200000,7341.1,42,24393,51118,63994,245724,136007
rep5,v1,42,200000,limit,109676,58.1,42,84,125,584,60744,
rep5,v1,42,200000,market,10037,39.7,42,83,125,167,708,
rep5,v1,42,200000,cancel,60153,32.0,41,42,84,84,3084,
rep5,v1,42,200000,modify,20134,41.1,42,84,125,208,625,
rep5,v1,42,200000,ALL,200000,47.6,42,84,125,208,60744,17726045
rep5,v2,42,200000,limit,109676,45.8,42,83,125,416,55619,
rep5,v2,42,200000,market,10037,35.6,42,83,84,125,416,
rep5,v2,42,200000,cancel,60153,29.4,41,42,84,84,5083,
rep5,v2,42,200000,modify,20134,37.2,42,83,125,167,416,
rep5,v2,42,200000,ALL,200000,39.5,42,83,125,167,55619,20689744
rep5,v3,42,200000,limit,109676,46.5,42,83,125,208,56910,
rep5,v3,42,200000,market,10037,36.0,42,83,84,125,208,
rep5,v3,42,200000,cancel,60153,29.8,41,42,84,84,9500,
rep5,v3,42,200000,modify,20134,37.2,42,83,125,167,458,
rep5,v3,42,200000,ALL,200000,40.0,42,83,125,167,56910,20482009
rep5,v4,42,200000,limit,109676,46.5,42,83,125,208,57577,
rep5,v4,42,200000,market,10037,36.3,42,83,84,125,4584,
rep5,v4,42,200000,cancel,60153,30.1,41,42,84,84,4250,
rep5,v4,42,200000,modify,20134,35.1,41,83,125,167,3227,
rep5,v4,42,200000,ALL,200000,39.9,42,83,125,167,57577,20528437
rep5,v5,42,200000,limit,109676,40.0,42,59,125,292,71243,
rep5,v5,42,200000,market,10037,40.3,42,83,125,166,27809,
rep5,v5,42,200000,cancel,60153,30.4,41,42,84,125,26767,
